question,q_len_chars,q_len_words,q_wh_type
"What number isotope of carbon is used in radiocarbon dating, a method invented by Willard Libby in the 1940s?",109,19,what
"In what year was Olaf Palme, Prime Minister of Sweden, assassinated?",68,11,year
"Murdered by a bomb in asmall fishing boat off County Sligo, in which year did Lord Louis Mountbattendie?",104,18,which
"In which year was the 'Mini' motor car introduced, and the first photographs were taken of the far side of the moon?",116,22,which
How many American states were there at the beginning of the nineteenth century?,79,13,quantity
How many apprentice boys shut the gates of Derry in December 1688 leading to the siege of the city?,99,19,quantity
How many theses did Martin Luther post on the door of the Castle Church of Wittenberg in October 1517?,102,19,quantity
"Name the year; America win the first Ryder Cup, Trotsky is exiled in Stalin purge and Charles Lindbergh flies solo across the Atlantic?",135,23,other
"Name the year; Uproar at the Premiere of Stravinsky's Rite of Spring in Paris, Robert Bridges becomes Poet Laureate and Suffragette Emily Davison is killed when she runs under the king's horse at the Derby?",206,35,when
In which year of World War II did the Soviet Union declare war on Japan?,72,15,which
What is the maximum number of characters in a 'Tweet' on 'Twitter'?,67,12,what
In mathematics what is the sum of the internal angles of a pentagon?,68,13,what
In which year did Alcock and Brown make the first non-stop trans- Atlantic flight?,82,14,which
"How long, in cubits, was Noah’s Ark?",36,7,quantity
In which year was the voting age in Britain reduced from 21 to 18?,66,14,which
"Which is the next number in the Fibronacci sequence: 1, 1, 2, 3, 5, 8, 13, .....?",81,17,which
"Which is the next triangular number in the sequence: 1, 3, 6, 10, 15, 21, .......?",82,16,which
"Name the year. South African police kill 56 people in Sharpeville, Israeli intelligence agents capture Adolf Eichmann, and Nigeria gains its independence?",154,22,other
"Name the year. Walt Disney dies, Hastings Banda becomes Malawi's first President, and Nelson's pillar in O'Connell Street, Dublin is blown up?",142,22,other
On which track does the 'Chattanooga Choo Choo' leave Pennsylvania Station?,75,11,which
August 24th is St. Bartholomew's Day in Western Christianity. In which year did the 'St. Bartholomew's Day Massacre' take place in France?,138,22,which
In which year did Jimmy Carter win the Nobel Peace Prize?,57,11,which
How many Years of marriage does a crystal wedding anniversary celebrate?,72,11,age
In what year was the Battle of Blenheim?,40,8,year
In which Year was The Battle of Crecy?,38,8,which
Name the year - Adolf Hitler's beer hall putsch fails; President Warren Harding dies in office and Bolton beat West Ham in the first Wembley FA cup final?,154,28,other
How many rugby union teams took part in the 2015 Rugby World Cup?,65,13,quantity
"In which year was Mary, Queen of Scots executed and Sir Francis Drake 'Singed the King of Spain's Beard'?",105,19,which
Denver Broncos won the Super Bowl in February. This was the first time that the tradition of naming each game using Roman numerals was not used. So this game was Super Bowl what number?,185,34,what
In which year was the world’s first artificial satellite Sputnik 1 launched?,76,12,which
"Name the year; Harold Wilson resigns as Prime Minister, Rag Trade wins the Grand National and Concorde enters regular passenger service?",136,21,other
"Name the year; Military coup in Greece removes Constantine II, Che Guevara is captured and shot in Bolivia and Celtic beat Inter-Milan 2-1 in the European Cup final.",165,28,other
On this day in which year was Nelson Mandela inaugurated as President of South Africa?,86,15,which
In what year was the first Formula One motor racing world championship held?,76,13,year
"Tirpitz was sunk on November 1944 during Operation Catechism by bombers from Number 9 Squadron and which other numbered squadron, well known from Operation Chastise the previous year?",183,28,which
Name the year: Lawrence of Arabia wins Oscar for best picture; Harold Wilson becomes Leader of the Labour Party and writer C.S. Lewis dies?,139,24,other
"Name the year: Rosa Parks takes a seat at the front of a bus in Montgomery, Alabama, Hugh Gaitskell becomes leader of the Labour Party and Albert Einstein dies?",160,29,other
In what year was the Royal Yacht Britannia launched – one year either way?,74,14,year
In which year of the 1930’s did Fred Perry first win the Wimbledon men’s singles title?,87,16,which
"Name the year: Britain joins the Common Market, the Cod war begins and Red Rum wins his 1st Grand National.",107,20,other
"Name the yean Mikhail Gorbachev becomes Soviet leader, cruise liner Achille Lauro is attacked and Wigan beat Hull 26-25 in the Challenge Cup Final?",147,24,other
Which year saw the death of Josef Stalin and the first televised Academy Awards Ceremony?,89,15,which
Which year saw Yuri Gagarin become the first man in space and the erection of the 'Berlin Wall'?,96,18,which
"What is the length, in metres, of the course in all Olympic Rowing races?",73,14,what
An icosahedron has how many faces?,34,6,quantity
"What is the length, in kilometres, of the run which is the final part of the Olympic triathlon?",95,18,which
In which year was East Enders first broadcast?,46,8,which
In which year did Franco capture Madrid and win the Spanish Civil War?,70,13,which
In what year was Concorde's last commercial flight?,51,8,year
How many square inches are there in one square foot?,52,10,quantity
"What is the length in metres, of the course in Olympic Rowing events?",69,13,what
How many questions must be answered correct to win £1 million on 'Who Wants To Be A Millionaire'?,97,18,quantity
In which year was the battle of Aboukir Bay (The Nile)?,55,11,which
"Before being replaced with the 118 numbers, what three digit number was used for Directory Enquiries for domestic numbers?",122,19,what
How many pounds are there in a hundredweight?,45,8,quantity
How many feet are there in a 'Furlong'?,39,8,quantity
"In total, how many toes do most cats have?",42,9,quantity
"Brezhnev and Kosygin take over from Kruschev, Southern Rhodesia becomes Zambia, Roger Emerson wins the Men's Singles at Wimbledon. Which year?",142,21,which
"Seven crew are killed when the space shuttle Challenger explodes, US Air Force bombers attack Libya, Castleford win the Rugby League Challenge Cup. Which year?",159,25,when
In the English version of Scrabble there are 100 tiles. The letter E has most tiles. How many,93,18,quantity
The logo of Cancer Research UK has a pattern of dots in the shape of a triangle. How many dots are there?,105,22,quantity
How many coloured squares are there on a standard 'Rubik's Cube'?,65,11,quantity
"In Hertz, what is the frequency of mains electricity supply in the UK?",70,13,what
"Name the year: 900 followers of the Rev Jim Jones commit suicide in Guyana, Ipswich Town defeat Arsenal in the FA cup final and Louise Brown becomes the first test tube baby?",174,32,other
"Name the year Rumanian dictator Nicolae Ceausecu is executed, Boris Becker wins the last of his three Wimbledon titles and Akihito succeeds his father as Emperor of Japan?",171,28,other
How many symphonies did Mozart write?,37,6,quantity
How many edges has a pentadecagon?,34,6,quantity
"""Name the year - An earthquake in Haiti kills over 300,000 people, A P McCoy wins the Grand National on """"Don't push it"""" and Deepwater Horizon rig explodes in the Gulf of Mexico?""",180,33,other
How many gallons of ale in a butt?,34,8,quantity
"Name the year - Prince Charles marries Camilla Parker Bowles, Pope John Paul II dies and Liverpool beat AC Milan to win the European Cup?",137,25,other
In what year was Lord Mountbatten murdered,42,7,year
How many degrees are there in a triangle,40,8,quantity
How many letters are there in the German alphabet,49,9,quantity
What year saw the death of Billy the Kid,40,9,year
In what year did Argentina invade the Falklands,47,8,year
In what year did Playboy Magazine come out,42,8,year
In what year did Britain join The Common Market,47,9,year
In what year were ball girls first used at Wimbledon,52,10,year
In what year did Harold Wilson retire,37,7,year
In what year did the Wright bros make their first powered flight,64,12,year
